,level_0,index,channelId,channelTitle,categoryId,title,videoId,publishedAt,viewCount,likeCount,dislikeCount,commentCount,tags,channelVideoId,datePublished,todayDate,daysPublished,averageViewCount,positiveRating,negativeRating,engagementRating
89,29,32,UCV0qA-eDDICsRR9rPcnG7tw,Joma Tech,22,Learning How To Code to Build My Startup,tgOLVIiI8WY,2018-08-02T16:00:05Z,239113,9131,315,744,"['joma', 'vlog', 'techlead', 'the techlead', 'google', 'google software engineer', 'startup', 'startup ep 07', 'ep 07', 'startup 7', 'joma tech', 'software engineer', 'joma startup']",Joma Tech 29,2018-08-02,2021-02-28,941,254.0,3.82,0.13,0.31
90,0,4,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,I Wasted the Last 6 Months of My Life...,BCWfXWVVsKo,2021-02-24T18:23:48Z,222565,10442,209,1351,"['Ali Abdaal', 'Ali abdal', 'book writing', 'writing a book', 'author productivity', 'writer productivity', 'the process of book writing', 'how to write a book', 'dealing with doubt', 'book publishers', 'how does publishing work', 'book publishing', 'steps to writing a book', 'how to write a book and publish it', 'writing a book for the first time', 'how to write a book for beginners', 'how to write a book for publishing', 'how to start writing a book', 'writing', 'writing tips', 'how to write a book guide']",Ali Abdaal 0,2021-02-24,2021-02-28,4,55641.0,4.69,0.09,0.61
91,1,18,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,I Slept With My Mouth Taped Shut for 30 Days,nl8LQrbMdqQ,2021-02-21T17:49:20Z,202202,7931,325,1378,"['Ali Abdaal', 'Ali abdal', 'mouth taped shut', 'how to stop snoring', 'how to stop dry mouth', 'sleeping with mouth tape', 'sleeping with tape on mouth', 'mouth taped sleeping', 'sleeping with somnifix tape', 'somnifix mouth tape review', 'how to sleep better', 'nose breathing', 'stop snoring', 'snoring', 'mouth tape', 'mouth breathing', 'junior doctor', 'mouth taping', 'nose breathing vs mouth breathing', 'mouth taping results', 'somnifix mouth tape', 'mouth taping for sleep', 'mouth taping for optimal sleep']",Ali Abdaal 1,2021-02-21,2021-02-28,7,28886.0,3.92,0.16,0.68
92,2,9,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,My INSANELY PRODUCTIVE Valentine&#39;s Day,5FgvGQXfV10,2021-02-18T16:36:59Z,302819,14696,439,1746,"['Ali Abdaal', 'Ali abdal', ""valentine's day vlog"", ""single on valentine's day"", 'productive daily routine', 'productive day', 'ali abdaal vlog', 'day in the life', 'productivity 2020', 'doctor day in the life', 'day in the life of a youtuber', 'a day in the life', 'junior doctor', 'day in the life vlog', 'junior doctor vlog', 'day in the life of a doctor', 'the junior doctor', 'junior doctor uk', 'ali abdaal leaving medicine', 'productive day in my life', 'junior doctor life', 'life as a doctor']",Ali Abdaal 2,2021-02-18,2021-02-28,10,30282.0,4.85,0.14,0.58
93,3,48,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,The Book That MOST Changed My Life,nk_Pfxmqn6g,2021-02-14T18:29:03Z,218687,10223,135,817,"['Ali Abdaal', 'Ali abdal', 'four hour workweek', '4 hour workweek', '4 hour work week', 'four hour work week', '4hww', 'tim ferriss 4 hour work week', 'the four hour work week', 'the 4 hour work week', 'the 4 hour work week review', '4 hour work week review', '4 hour work week summary', 'the 4 hour work week summary', 'the 4-hour workweek', 'entrepreneur', '4 hour work week tim ferriss', '4 hour work week success story', '4 hour work week scam', 'the 4 hour work week book', 'the 4 hour workweek by tim ferriss']",Ali Abdaal 3,2021-02-14,2021-02-28,14,15620.0,4.67,0.06,0.37
94,4,17,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,21 Tips for My 18-Year-Old Self,W3CDMcWlPyM,2021-02-10T18:30:03Z,293015,20786,128,1482,"['Ali Abdaal', 'Ali abdal', 'tips for my younger self', 'tips for my 18 year old self', 'advice for my younger self', 'advice for an 18 year old', 'advice for students', 'advice for young people', 'ultimate advice for students', 'motivation', 'advice for college students', 'tips for college students', 'advice for young students', 'student motivation', 'success in life', 'study', 'ali abdaal vlog', 'studytube', 'success', 'study tips', 'student', 'how to study for exams', 'how to succeed in life', 'how to study effectively']",Ali Abdaal 4,2021-02-10,2021-02-28,18,16279.0,7.09,0.04,0.51
95,5,34,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,The Most PRODUCTIVE Desk Setups on YouTube,cs7TCNDQy1E,2021-01-27T18:56:32Z,235660,9502,197,1187,"['Ali Abdaal', 'Ali abdal', 'productive desk setups', 'productive desk', 'desk setups', ""matt d'avella"", 'thomas frank', 'productive desk setup', 'home office setup', 'minimal desk setup', 'productivity desk setup', 'productivity', 'desk tour', 'desk setup 2020', 'productivity desk tour', 'desk tour 2021', 'desk setup tour', 'productivity room', 'productivity desk 2021', 'work from home setup', 'desk setup ideas', 'desk setup productivity', 'desk setup tour 2021', 'home office tour', 'home office']",Ali Abdaal 5,2021-01-27,2021-02-28,32,7364.0,4.03,0.08,0.5
96,6,30,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,A RIDICULOUSLY Productive Day in my Life,KMskdqtR1yA,2021-01-20T17:43:15Z,211190,10634,278,1381,"['Ali Abdaal', 'Ali abdal', 'day in the life vlog', 'playstation 5 unboxing', 'playstation 5', 'productivity', 'day in the life', 'junior doctor', 'ali abdaal leaving medicine', 'ali abdaal youtube', 'ali abdaal kindle', 'ali abdaal roommate', 'ali abdaal book', 'ali abdaal vlog', 'ali abdaal books', 'ali abdaal ipad', 'day in the life of a doctor', 'productivity tips', 'doctor day in the life', 'productivity 2020', 'junior doctor vlog', 'productivity apps', 'increase productivity', 'how to be productive']",Ali Abdaal 6,2021-01-20,2021-02-28,39,5415.0,5.04,0.13,0.65
97,7,3,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,My Productivity Desk Setup (2021),5791L8VEHZw,2021-01-14T17:46:21Z,674067,21379,506,1640,"['Ali Abdaal', 'Ali abdal', 'productivity desk setup', 'clean desk setup', 'techie desk setup', 'desk organization', 'desk makeover', 'productivity desk tour', 'workspace setup', 'workspace tour', 'productive workspace', 'productive desk setup', 'ugmonk', 'desk tour 2021', 'desk setup 2021', 'productivity desk 2021', 'productivity desk 2020', 'productivity room', 'room tour', 'home office setup', 'desk tour', 'desk setup', 'small home office', 'home office tour', 'minimal desk setup', 'desk setup 2020', 'home office design']",Ali Abdaal 7,2021-01-14,2021-02-28,45,14979.0,3.17,0.08,0.24
98,8,45,UCoOae5nYA7VqaXzerajD0lg,Ali Abdaal,27,I WAS WRONG - How I Set Goals for the New Year,0rkRC728rIU,2020-12-31T18:00:01Z,352631,19027,199,1011,"['Ali Abdaal', 'Ali abdal', 'how to set goals', 'goals', 'new years resolutions', 'how to actually set goals', 'how to set new years resolutions', 'how to reach goals', 'the importance of goals', 'why goals matter', 'do goals matter?', '2020 goals', '2021 goals', '2021', 'productive goals', 'targets', 'systems thinking', 'goals 2021']",Ali Abdaal 8,2020-12-31,2021-02-28,59,5977.0,5.4,0.06,0.29
